date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:07	174866/174866	---MCZ	200	added ('OK')	text/html	etag:W/%225e295048-2ab12%22	https://dreamingtheme.kiendaotac.com/html/moorabi/index.html	C:/Users/adela04/Desktop/list_pr/pr/dreamingtheme.kiendaotac.com/html/moorabi/index.html	(from )
16:09:07	245/245	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Feb%202025%2007:06:37%20GMT	https://dreamingtheme.kiendaotac.com/robots.txt		(from )
16:09:07	896/896	---M--	200	added ('OK')	image/png	etag:%22380-59c0140f12880%22	https://dreamingtheme.kiendaotac.com/html/moorabi/assets/images/favicon.png	C:/Users/adela04/Desktop/list_pr/pr/dreamingtheme.kiendaotac.com/html/moorabi/assets/images/favicon.png	(from https://dreamingtheme.kiendaotac.com/html/moorabi/index.html)
16:09:08	121206/121206	---MCZ	200	added ('OK')	text/css	etag:W/%225e04625c-1d976%22	https://dreamingtheme.kiendaotac.com/html/moorabi/assets/css/bootstrap.min.css	C:/Users/adela04/Desktop/list_pr/pr/dreamingtheme.kiendaotac.com/html/moorabi/assets/css/bootstrap.min.css	(from https://dreamingtheme.kiendaotac.com/html/moorabi/index.html)
16:09:08	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22585b93da-7918%22	https://dreamingtheme.kiendaotac.com/html/moorabi/assets/css/font-awesome.min.css	C:/Users/adela04/Desktop/list_pr/pr/dreamingtheme.kiendaotac.com/html/moorabi/assets/css/font-awesome.min.css	(from https://dreamingtheme.kiendaotac.com/html/moorabi/index.html)
16:09:08	3821/3821	---MCZ	200	added ('OK')	text/css	etag:W/%22593fb0ec-eed%22	https://dreamingtheme.kiendaotac.com/html/moorabi/assets/css/owl.carousel.min.css	C:/Users/adela04/Desktop/list_pr/pr/dreamingtheme.kiendaotac.com/html/moorabi/assets/css/owl.carousel.min.css	(from https://dreamingtheme.kiendaotac.com/html/moorabi/index.html)
16:09:08	56869/56869	---MCZ	200	added ('OK')	text/css	etag:W/%225940bc30-de25%22	https://dreamingtheme.kiendaotac.com/html/moorabi/assets/css/animate.min.css	C:/Users/adela04/Desktop/list_pr/pr/dreamingtheme.kiendaotac.com/html/moorabi/assets/css/animate.min.css	(from https://dreamingtheme.kiendaotac.com/html/moorabi/index.html)
16:09:09	35982/35982	---MCZ	200	added ('OK')	text/css	etag:W/%225d7c3f6e-8c8e%22	https://dreamingtheme.kiendaotac.com/html/moorabi/assets/css/jquery-ui.css	C:/Users/adela04/Desktop/list_pr/pr/dreamingtheme.kiendaotac.com/html/moorabi/assets/css/jquery-ui.css	(from https://dreamingtheme.kiendaotac.com/html/moorabi/index.html)
16:09:09	1729/1729	---MCZ	200	added ('OK')	text/css	etag:W/%22572bcac4-6c1%22	https://dreamingtheme.kiendaotac.com/html/moorabi/assets/css/slick.css	C:/Users/adela04/Desktop/list_pr/pr/dreamingtheme.kiendaotac.com/html/moorabi/assets/css/slick.css	(from https://dreamingtheme.kiendaotac.com/html/moorabi/index.html)
16:09:09	10328/10328	---MCZ	200	added ('OK')	text/css	etag:W/%22594a4862-2858%22	https://dreamingtheme.kiendaotac.com/html/moorabi/assets/css/chosen.min.css	C:/Users/adela04/Desktop/list_pr/pr/dreamingtheme.kiendaotac.com/html/moorabi/assets/css/chosen.min.css	(from https://dreamingtheme.kiendaotac.com/html/moorabi/index.html)
16:09:09	9742/9742	---MCZ	200	added ('OK')	text/css	etag:W/%2254769670-260e%22	https://dreamingtheme.kiendaotac.com/html/moorabi/assets/css/pe-icon-7-stroke.css	C:/Users/adela04/Desktop/list_pr/pr/dreamingtheme.kiendaotac.com/html/moorabi/assets/css/pe-icon-7-stroke.css	(from https://dreamingtheme.kiendaotac.com/html/moorabi/index.html)
16:09:10	5967/5967	---MCZ	200	added ('OK')	text/css	etag:W/%22593fb0f2-174f%22	https://dreamingtheme.kiendaotac.com/html/moorabi/assets/css/magnific-popup.min.css	C:/Users/adela04/Desktop/list_pr/pr/dreamingtheme.kiendaotac.com/html/moorabi/assets/css/magnific-popup.min.css	(from https://dreamingtheme.kiendaotac.com/html/moorabi/index.html)
